,geo_code,geo_label,nearest_main_bua,nearest_sub_bua
26449,E01000387,Bexley 027C,90.0,36.0
26450,E01000307,Barnet 039D,44.0,43.0
26451,E01000386,Bexley 028D,90.0,47.0
26452,E01000304,Barnet 020E,34.0,34.0
26453,E01000385,Bexley 028C,94.0,48.0
26454,E01000305,Barnet 036B,48.0,39.0
26455,E01000384,Bexley 027B,91.0,45.0
26456,E01000302,Barnet 019C,30.0,30.0
26457,E01000383,Bexley 028B,98.0,43.0
26458,E01000303,Barnet 020D,33.0,33.0
26459,E01000382,Bexley 027A,97.0,39.0
26460,E01000300,Barnet 019B,30.0,30.0
26461,E01000381,Bexley 028A,94.0,40.0
26462,E01000301,Barnet 020C,36.0,36.0
26463,E01000308,Barnet 036D,51.0,39.0
26464,E01000389,Bexley 020E,103.0,19.0
26465,E01000309,Barnet 031D,46.0,42.0
26466,E01000388,Bexley 016A,100.0,27.0
26467,E01000266,Barnet 011B,37.0,27.0
26468,E01000267,Barnet 005A,47.0,37.0
26469,E01000265,Barnet 011A,41.0,23.0
26470,E01000262,Barnet 017D,41.0,41.0
26471,E01000263,Barnet 016C,59.0,47.0
26472,E01000260,Barnet 025E,54.0,52.0
26473,E01000261,Barnet 017C,53.0,52.0
26474,E01000268,Barnet 005B,47.0,34.0
26475,E01000269,Barnet 005C,40.0,32.0
26476,E01002256,Havering 018B,67.0,48.0
26477,E01002257,Havering 019C,54.0,37.0
26478,E01002254,Havering 019B,66.0,47.0
26479,E01002255,Havering 022A,62.0,42.0
26480,E01002252,Havering 018A,69.0,48.0
26481,E01002253,Havering 019A,61.0,40.0
26482,E01004256,Tower Hamlets 024C,68.0,27.0
26483,E01002250,Havering 017E,79.0,30.0
26484,E01004257,Tower Hamlets 024D,69.0,31.0
26485,E01002251,Havering 017F,66.0,17.0
26486,E01004254,Tower Hamlets 023B,67.0,25.0
26487,E01004255,Tower Hamlets 023C,65.0,23.0
26488,E01004252,Tower Hamlets 024A,70.0,27.0
26489,E01004253,Tower Hamlets 024B,69.0,28.0
26490,E01004250,Tower Hamlets 020D,72.0,33.0
26491,E01004251,Tower Hamlets 023A,69.0,27.0
26492,E01002258,Havering 018C,62.0,42.0
26493,E01002259,Havering 018D,65.0,45.0
26494,E01004258,Tower Hamlets 023D,68.0,26.0
26495,E01004259,Tower Hamlets 007A,62.0,18.0
26496,E01032584,Southwark 034E,50.0,21.0
26497,E01032583,Southwark 034D,52.0,19.0
26498,E01032582,Lambeth 036E,48.0,19.0
26499,E01032581,Redbridge 034G,63.0,26.0
26500,E01032580,Barking and Dagenham 023F,67.0,29.0
26501,E01000556,Brent 015D,46.0,30.0
26502,E01000557,Brent 015E,48.0,32.0
26503,E01000554,Brent 015B,53.0,39.0
26504,E01000555,Brent 015C,54.0,34.0
26505,E01000552,Brent 034D,48.0,31.0
26506,E01000553,Brent 015A,51.0,36.0
26507,E01000550,Brent 034B,41.0,24.0
26508,E01000551,Brent 034C,48.0,27.0
26509,E01000558,Brent 015F,53.0,33.0
26510,E01000559,Brent 018E,53.0,27.0
26511,E01002506,Hillingdon 027E,39.0,26.0
26512,E01002587,Hounslow 016A,61.0,25.0
26513,E01002507,Hillingdon 027F,46.0,32.0
26514,E01002586,Hounslow 013D,59.0,33.0
26515,E01002504,Hillingdon 027D,36.0,34.0
26516,E01002585,Hounslow 013C,57.0,28.0
26517,E01002505,Hillingdon 026D,45.0,36.0
26518,E01002584,Hounslow 013B,54.0,31.0
26519,E01002502,Hillingdon 026C,40.0,34.0
26520,E01002583,Hounslow 013A,54.0,29.0
26521,E01002503,Hillingdon 027C,40.0,28.0
26522,E01002582,Hounslow 008E,80.0,32.0
26523,E01004506,Wandsworth 011A,63.0,20.0
26524,E01004587,Wandsworth 009D,65.0,26.0
26525,E01002581,Hounslow 008D,76.0,27.0
26526,E01004507,Wandsworth 014E,64.0,20.0
26527,E01004586,Wandsworth 009C,60.0,25.0
26528,E01002501,Hillingdon 026B,39.0,32.0
26529,E01002580,Hounslow 008C,75.0,26.0
26530,E01004504,Wandsworth 020C,70.0,22.0
26531,E01004585,Wandsworth 008D,60.0,25.0
26532,E01004505,Wandsworth 014D,70.0,27.0
26533,E01004584,Wandsworth 003D,67.0,30.0
26534,E01004502,Wandsworth 020B,67.0,16.0
26535,E01004583,Wandsworth 001D,69.0,30.0
26536,E01004503,Wandsworth 014C,68.0,21.0
26537,E01004582,Wandsworth 001C,70.0,32.0
26538,E01004500,Wandsworth 014A,69.0,26.0
26539,E01004581,Wandsworth 004D,66.0,26.0
26540,E01004501,Wandsworth 014B,69.0,26.0
26541,E01004580,Wandsworth 004C,62.0,26.0
26542,E01002508,Hillingdon 026E,37.0,37.0
26543,E01002589,Hounslow 013E,68.0,31.0
26544,E01002509,Hillingdon 017D,27.0,27.0
26545,E01002588,Hounslow 016B,64.0,29.0
26546,E01004508,Wandsworth 012A,53.0,16.0
26547,E01004589,Wandsworth 009E,63.0,28.0
26548,E01004509,Wandsworth 010A,63.0,0.0
26549,E01004588,Wandsworth 008E,55.0,23.0
26550,E01001976,Haringey 011A,53.0,21.0
26551,E01001977,Haringey 011B,53.0,20.0
26552,E01001974,Haringey 001C,35.0,12.0
26553,E01001975,Haringey 001D,41.0,16.0
26554,E01001972,Haringey 004C,37.0,13.0
26555,E01001973,Haringey 004D,35.0,14.0
26556,E01001970,Haringey 004B,31.0,12.0
26557,E01001971,Haringey 001B,40.0,10.0
26558,E01001978,Haringey 011C,53.0,21.0
26559,E01001979,Haringey 011D,54.0,22.0
26560,E01003926,Southwark 021F,68.0,26.0
26561,E01003927,Southwark 002A,56.0,20.0
26562,E01003924,Southwark 021E,69.0,31.0
26563,E01003925,Southwark 020E,71.0,33.0
26564,E01003922,Southwark 021D,75.0,26.0
26565,E01003923,Southwark 017A,68.0,30.0
26566,E01003920,Southwark 021B,69.0,30.0
26567,E01003921,Southwark 021C,70.0,27.0
26568,E01003929,Southwark 002B,58.0,18.0
26569,E01002466,Hillingdon 010B,36.0,30.0
26570,E01002467,Hillingdon 009B,28.0,24.0
26571,E01002464,Hillingdon 011E,24.0,24.0
26572,E01002465,Hillingdon 009A,32.0,29.0
26573,E01002462,Hillingdon 011D,31.0,31.0
26574,E01002463,Hillingdon 013B,24.0,24.0
26575,E01004466,Waltham Forest 015C,63.0,11.0
26576,E01002460,Hillingdon 011C,23.0,23.0
26577,E01002461,Hillingdon 013A,23.0,23.0
26578,E01004464,Waltham Forest 013C,62.0,15.0
26579,E01004465,Waltham Forest 015B,67.0,16.0
26580,E01004462,Waltham Forest 011E,59.0,13.0
26581,E01004463,Waltham Forest 012E,64.0,20.0
26582,E01004460,Waltham Forest 011D,61.0,14.0
26583,E01004461,Waltham Forest 014E,52.0,14.0
26584,E01002468,Hillingdon 010C,31.0,26.0
26585,E01002469,Hillingdon 010D,32.0,27.0
26586,E01004468,Waltham Forest 015E,70.0,23.0
26587,E01004469,Waltham Forest 013D,70.0,23.0
26588,E01000406,Bexley 005C,113.0,33.0
26589,E01000486,Brent 006D,50.0,21.0
26590,E01000407,Bexley 005D,111.0,26.0
26591,E01000485,Brent 006C,51.0,22.0
26592,E01000404,Bexley 004B,107.0,31.0
26593,E01000484,Brent 006B,53.0,25.0
26594,E01000405,Bexley 004C,113.0,36.0
26595,E01000483,Brent 009D,56.0,26.0
26596,E01000402,Bexley 005B,107.0,28.0
26597,E01000482,Brent 009C,49.0,20.0
26598,E01000403,Bexley 004A,104.0,29.0
26599,E01000481,Brent 009B,51.0,22.0
26600,E01000400,Bexley 029C,94.0,29.0
26601,E01000480,Brent 006A,53.0,23.0
26602,E01000401,Bexley 013A,96.0,29.0
26603,E01000489,Brent 030A,61.0,34.0
26604,E01000408,Bexley 004D,105.0,32.0
26605,E01000488,Brent 022A,60.0,35.0
26606,E01000409,Bexley 016C,101.0,31.0
26607,E01001826,Hackney 004E,56.0,26.0
26608,E01001827,Hackney 029D,60.0,26.0
26609,E01001824,Hackney 004D,57.0,26.0
26610,E01001825,Hackney 001E,56.0,26.0
26611,E01001822,Hackney 029C,62.0,23.0
26612,E01001823,Hackney 001D,61.0,30.0
26613,E01001820,Hackney 024E,67.0,18.0
26614,E01001821,Hackney 024F,68.0,17.0
26615,E01001828,Hackney 028B,65.0,26.0
26616,E01001829,Hackney 009C,60.0,29.0
26617,E01003897,Richmond upon Thames 014D,72.0,19.0
26618,E01003816,Richmond upon Thames 012C,72.0,16.0
26619,E01003896,Richmond upon Thames 014C,73.0,15.0
26620,E01003817,Richmond upon Thames 012D,72.0,22.0
26621,E01003895,Richmond upon Thames 009D,77.0,13.0
26622,E01003814,Richmond upon Thames 019C,79.0,31.0
26623,E01003894,Richmond upon Thames 009C,77.0,10.0
26624,E01003815,Richmond upon Thames 019D,84.0,34.0
26625,E01003893,Richmond upon Thames 009B,76.0,10.0
26626,E01003812,Richmond upon Thames 018B,77.0,30.0
26627,E01003892,Richmond upon Thames 009A,75.0,9.0
26628,E01003813,Richmond upon Thames 019B,86.0,38.0
26629,E01000766,Bromley 027C,86.0,27.0
26630,E01003891,Richmond upon Thames 018D,74.0,26.0
26631,E01003810,Richmond upon Thames 019A,80.0,32.0
26632,E01000767,Bromley 027D,90.0,31.0
26633,E01003890,Richmond upon Thames 018C,80.0,27.0
26634,E01003811,Richmond upon Thames 018A,78.0,29.0
26635,E01000764,Bromley 027B,88.0,29.0
26636,E01000765,Bromley 034D,90.0,29.0
26637,E01000762,Bromley 018D,84.0,26.0
26638,E01000763,Bromley 027A,87.0,26.0
26639,E01000760,Bromley 034B,89.0,38.0
26640,E01000761,Bromley 034C,93.0,39.0
26641,E01003899,Richmond upon Thames 015B,84.0,28.0
26642,E01003898,Richmond upon Thames 015A,81.0,25.0
26643,E01003819,Richmond upon Thames 017B,79.0,26.0
26644,E01000768,Bromley 034E,89.0,32.0
26645,E01000769,Bromley 024A,97.0,39.0
26646,E01002756,Islington 001B,29.0,26.0
26647,E01002757,Islington 002C,30.0,30.0
26648,E01002754,Islington 002B,25.0,25.0
26649,E01002755,Islington 001A,31.0,28.0
26650,E01002752,Islington 009E,49.0,19.0
26651,E01002753,Islington 002A,29.0,29.0
26652,E01004756,Westminster 006E,47.0,29.0
26653,E01004757,Westminster 010C,44.0,27.0
26654,E01002751,Islington 005E,38.0,22.0
26655,E01004754,Westminster 010A,47.0,29.0
26656,E01004755,Westminster 010B,50.0,30.0
26657,E01004752,Westminster 022D,59.0,15.0
26658,E01004753,Westminster 022E,61.0,18.0
26659,E01004750,Westminster 023E,61.0,16.0
26660,E01004751,Westminster 022C,63.0,18.0
26661,E01002758,Islington 001C,32.0,29.0
26662,E01002759,Islington 002D,28.0,28.0
26663,E01000656,Bromley 039C,112.0,52.0
26664,E01000657,Bromley 039D,109.0,50.0
