,geo_code,geo_label,supermarket_15,supermarket_30,supermarket_45,supermarket_60,supermarket_75,supermarket_90,supermarket_105,supermarket_120,supermarket_pct_15,supermarket_pct_30,supermarket_pct_45,supermarket_pct_60,supermarket_pct_75,supermarket_pct_90,supermarket_pct_105,supermarket_pct_120,nearest_supermarket
26373,E01003416,Merton 017D,0,14,59,131,251,428,595,787,0.0,0.2161,0.9108,2.0222,3.8747,6.607,9.1849,12.1488,17.0
26374,E01003497,Newham 034A,2,20,102,282,523,759,937,1146,0.0309,0.3087,1.5746,4.3532,8.0735,11.7166,14.4643,17.6906,5.0
26375,E01001429,Enfield 030D,2,14,70,147,267,468,668,841,0.0309,0.2161,1.0806,2.2692,4.1216,7.2245,10.3118,12.9824,0.0
26376,E01003417,Merton 025A,2,14,39,91,178,321,479,630,0.0309,0.2161,0.602,1.4048,2.7478,4.9552,7.3943,9.7252,5.0
26377,E01003496,Newham 027A,1,31,140,354,602,809,1012,1213,0.0154,0.4785,2.1612,5.4646,9.293,12.4884,15.6221,18.7249,15.0
26378,E01003414,Merton 017B,3,13,54,130,256,432,601,783,0.0463,0.2007,0.8336,2.0068,3.9518,6.6687,9.2776,12.0871,7.0
26379,E01003495,Newham 025D,2,17,47,137,309,509,728,915,0.0309,0.2624,0.7255,2.1149,4.77,7.8574,11.238,14.1247,5.0
26380,E01003415,Merton 017C,3,17,73,152,299,460,648,816,0.0463,0.2624,1.1269,2.3464,4.6156,7.101,10.0031,12.5965,10.0
26381,E01003494,Newham 025C,2,17,49,149,317,527,751,935,0.0309,0.2624,0.7564,2.3001,4.8935,8.1352,11.5931,14.4335,8.0
26382,E01003412,Merton 014D,3,19,71,166,332,494,696,890,0.0463,0.2933,1.096,2.5625,5.125,7.6258,10.7441,13.7388,12.0
26383,E01003493,Newham 025B,3,19,69,187,378,577,784,960,0.0463,0.2933,1.0651,2.8867,5.8351,8.9071,12.1025,14.8194,0.0
26384,E01003413,Merton 017A,3,13,61,145,299,468,648,819,0.0463,0.2007,0.9416,2.2383,4.6156,7.2245,10.0031,12.6428,0.0
26385,E01003492,Newham 025A,3,20,70,192,386,597,804,980,0.0463,0.3087,1.0806,2.9639,5.9586,9.2158,12.4112,15.1281,6.0
26386,E01003491,Newham 022A,3,34,92,246,445,679,887,1083,0.0463,0.5249,1.4202,3.7975,6.8694,10.4816,13.6925,16.7181,9.0
26387,E01003411,Merton 014C,1,15,74,158,330,490,689,866,0.0154,0.2316,1.1423,2.439,5.0942,7.5641,10.636,13.3683,9.0
26388,E01003418,Merton 025B,2,9,28,73,172,311,480,628,0.0309,0.1389,0.4322,1.1269,2.6551,4.8009,7.4097,9.6944,12.0
26389,E01003499,Newham 030A,2,20,77,232,432,672,854,1045,0.0309,0.3087,1.1886,3.5814,6.6687,10.3736,13.1831,16.1315,13.0
26390,E01003419,Merton 025C,1,10,31,86,189,340,514,683,0.0154,0.1544,0.4785,1.3276,2.9176,5.2485,7.9345,10.5434,10.0
26391,E01003498,Newham 027B,1,16,70,225,441,692,869,1070,0.0154,0.247,1.0806,3.4733,6.8077,10.6823,13.4146,16.5174,14.0
26392,E01002846,Kensington and Chelsea 017A,4,40,148,393,606,822,1043,1271,0.0617,0.6175,2.2847,6.0667,9.3547,12.6891,16.1006,19.6203,10.0
26393,E01002847,Kensington and Chelsea 015B,2,38,151,385,610,820,1033,1272,0.0309,0.5866,2.331,5.9432,9.4165,12.6582,15.9463,19.6357,7.0
26394,E01002844,Kensington and Chelsea 019A,0,8,65,221,459,679,894,1131,0.0,0.1235,1.0034,3.4115,7.0855,10.4816,13.8006,17.4591,17.0
26395,E01002845,Kensington and Chelsea 019B,1,13,77,262,478,701,923,1148,0.0154,0.2007,1.1886,4.0445,7.3788,10.8212,14.2482,17.7215,9.0
26396,E01002842,Kensington and Chelsea 021C,1,13,60,227,443,658,870,1090,0.0154,0.2007,0.9262,3.5042,6.8385,10.1575,13.4301,16.8262,13.0
26397,E01002843,Kensington and Chelsea 021D,0,9,55,209,428,645,864,1075,0.0,0.1389,0.849,3.2263,6.607,9.9568,13.3374,16.5946,16.0
26398,E01002840,Kensington and Chelsea 021A,1,13,71,233,459,673,890,1113,0.0154,0.2007,1.096,3.5968,7.0855,10.389,13.7388,17.1812,11.0
26399,E01002841,Kensington and Chelsea 021B,0,9,51,209,422,629,852,1051,0.0,0.1389,0.7873,3.2263,6.5144,9.7098,13.1522,16.2241,17.0
26400,E01002848,Kensington and Chelsea 015C,2,32,141,357,578,805,1005,1249,0.0309,0.494,2.1766,5.511,8.9225,12.4267,15.514,19.2806,4.0
26401,E01002849,Kensington and Chelsea 017B,2,30,128,351,572,803,999,1243,0.0309,0.4631,1.9759,5.4183,8.8299,12.3958,15.4214,19.188,12.0
26402,E01003777,Redbridge 014D,2,10,74,203,368,608,828,1040,0.0309,0.1544,1.1423,3.1337,5.6808,9.3856,12.7817,16.0543,6.0
26403,E01003774,Redbridge 014A,2,8,63,175,326,555,769,1006,0.0309,0.1235,0.9725,2.7015,5.0324,8.5675,11.8709,15.5295,13.0
26404,E01003775,Redbridge 014B,0,7,54,153,306,509,748,959,0.0,0.1081,0.8336,2.3618,4.7237,7.8574,11.5468,14.804,18.0
26405,E01003772,Redbridge 024D,1,5,44,122,241,431,654,844,0.0154,0.0772,0.6792,1.8833,3.7203,6.6533,10.0957,13.0287,11.0
26406,E01003773,Redbridge 022D,1,11,50,135,263,471,681,869,0.0154,0.1698,0.7718,2.084,4.0599,7.2708,10.5125,13.4146,11.0
26407,E01003770,Redbridge 022B,2,9,40,106,226,396,606,804,0.0309,0.1389,0.6175,1.6363,3.4887,6.113,9.3547,12.4112,7.0
26408,E01003771,Redbridge 022C,1,13,49,129,255,462,666,859,0.0154,0.2007,0.7564,1.9914,3.9364,7.1318,10.281,13.2603,4.0
26409,E01003778,Redbridge 014E,3,13,76,204,368,605,834,1039,0.0463,0.2007,1.1732,3.1491,5.6808,9.3393,12.8743,16.0389,0.0
26410,E01003779,Redbridge 014F,3,9,67,195,334,569,795,1006,0.0463,0.1389,1.0343,3.0102,5.1559,8.7836,12.2723,15.5295,6.0
26411,E01001717,Hackney 007C,2,37,109,241,479,715,935,1163,0.0309,0.5712,1.6826,3.7203,7.3943,11.0374,14.4335,17.9531,15.0
26412,E01001796,Hackney 011E,0,10,74,172,357,551,772,974,0.0,0.1544,1.1423,2.6551,5.511,8.5057,11.9173,15.0355,17.0
26413,E01001714,Hackney 002A,7,61,139,299,550,800,1000,1227,0.1081,0.9416,2.1457,4.6156,8.4903,12.3495,15.4369,18.941,13.0
26414,E01001795,Hackney 011D,1,12,81,186,375,568,795,987,0.0154,0.1852,1.2504,2.8713,5.7888,8.7681,12.2723,15.2362,15.0
26415,E01001715,Hackney 007A,5,52,130,289,550,801,996,1220,0.0772,0.8027,2.0068,4.4613,8.4903,12.3649,15.3751,18.833,14.0
26416,E01004083,Sutton 019A,2,6,27,76,201,361,539,690,0.0309,0.0926,0.4168,1.1732,3.1028,5.5727,8.3205,10.6514,6.0
26417,E01004003,Southwark 023B,6,42,140,337,548,724,872,1062,0.0926,0.6483,2.1612,5.2022,8.4594,11.1763,13.4609,16.3939,4.0
26418,E01004082,Sutton 011G,1,10,32,121,269,448,612,780,0.0154,0.1544,0.494,1.8679,4.1525,6.9157,9.4474,12.0408,12.0
26419,E01004000,Southwark 026A,7,49,171,375,572,724,893,1064,0.1081,0.7564,2.6397,5.7888,8.8299,11.1763,13.7851,16.4248,8.0
26420,E01004081,Sutton 011F,2,9,30,97,233,382,559,709,0.0309,0.1389,0.4631,1.4974,3.5968,5.8969,8.6292,10.9447,13.0
26421,E01004001,Southwark 026B,7,44,155,343,550,705,845,1013,0.1081,0.6792,2.3927,5.2948,8.4903,10.883,13.0441,15.6375,9.0
26422,E01004080,Sutton 011E,1,14,38,142,266,438,606,788,0.0154,0.2161,0.5866,2.192,4.1062,6.7613,9.3547,12.1642,11.0
26423,E01002089,Haringey 013D,1,17,74,156,306,561,799,991,0.0154,0.2624,1.1423,2.4082,4.7237,8.6601,12.3341,15.2979,14.0
26424,E01002009,Haringey 035D,3,22,66,154,293,496,715,918,0.0463,0.3396,1.0188,2.3773,4.523,7.6567,11.0374,14.171,10.0
26425,E01002088,Haringey 013C,3,23,92,174,337,582,811,974,0.0463,0.355,1.4202,2.686,5.2022,8.9843,12.5193,15.0355,11.0
26426,E01004008,Southwark 022B,7,40,131,329,524,704,864,1059,0.1081,0.6175,2.0222,5.0787,8.0889,10.8676,13.3374,16.3476,8.0
26427,E01004089,Sutton 019D,1,4,25,68,195,351,520,673,0.0154,0.0617,0.3859,1.0497,3.0102,5.4183,8.0272,10.389,0.0
26428,E01004088,Sutton 019C,1,5,28,87,222,379,559,700,0.0154,0.0772,0.4322,1.343,3.427,5.8506,8.6292,10.8058,5.0
26429,E01002366,Havering 023E,3,13,30,88,208,348,530,723,0.0463,0.2007,0.4631,1.3584,3.2109,5.372,8.1815,11.1609,9.0
26430,E01002367,Havering 020E,3,10,27,64,171,286,429,590,0.0463,0.1544,0.4168,0.988,2.6397,4.4149,6.6224,9.1077,0.0
26431,E01002364,Havering 023C,2,10,30,89,215,347,527,721,0.0309,0.1544,0.4631,1.3739,3.3189,5.3566,8.1352,11.13,12.0
26432,E01002365,Havering 023D,2,11,33,111,243,387,582,770,0.0309,0.1698,0.5094,1.7135,3.7512,5.9741,8.9843,11.8864,7.0
26433,E01002362,Havering 022D,2,11,28,88,202,324,502,691,0.0309,0.1698,0.4322,1.3584,3.1182,5.0015,7.7493,10.6669,14.0
26434,E01002363,Havering 020D,3,13,30,68,171,297,467,654,0.0463,0.2007,0.4631,1.0497,2.6397,4.5847,7.209,10.0957,10.0
26435,E01004366,Waltham Forest 019C,1,11,98,204,381,627,849,1053,0.0154,0.1698,1.5128,3.1491,5.8814,9.6789,13.1059,16.255,13.0
26436,E01002360,Havering 020B,2,11,28,80,194,308,483,669,0.0309,0.1698,0.4322,1.2349,2.9948,4.7546,7.456,10.3273,15.0
26437,E01004367,Waltham Forest 019D,1,20,115,222,402,654,869,1055,0.0154,0.3087,1.7752,3.427,6.2056,10.0957,13.4146,16.2859,12.0
26438,E01002361,Havering 020C,2,14,33,84,187,297,456,645,0.0309,0.2161,0.5094,1.2967,2.8867,4.5847,7.0392,9.9568,0.0
26439,E01004364,Waltham Forest 019B,1,16,99,200,370,608,852,1039,0.0154,0.247,1.5282,3.0874,5.7116,9.3856,13.1522,16.0389,12.0
26440,E01004365,Waltham Forest 020A,1,18,114,216,399,667,896,1057,0.0154,0.2779,1.7598,3.3344,6.1593,10.2964,13.8314,16.3168,7.0
26441,E01004362,Waltham Forest 021A,1,6,70,198,361,599,838,1041,0.0154,0.0926,1.0806,3.0565,5.5727,9.2467,12.9361,16.0698,4.0
26442,E01004363,Waltham Forest 019A,1,15,86,180,342,573,824,1000,0.0154,0.2316,1.3276,2.7786,5.2794,8.8453,12.72,15.4369,14.0
26443,E01004360,Waltham Forest 004B,0,6,23,85,157,275,440,623,0.0,0.0926,0.355,1.3121,2.4236,4.2451,6.7922,9.6172,18.0
26444,E01004361,Waltham Forest 005A,1,7,23,91,180,320,507,686,0.0154,0.1081,0.355,1.4048,2.7786,4.9398,7.8265,10.5897,14.0
26445,E01002368,Havering 028A,0,6,18,47,104,209,357,506,0.0,0.0926,0.2779,0.7255,1.6054,3.2263,5.511,7.8111,23.0
26446,E01002369,Havering 028B,0,7,17,49,107,216,360,515,0.0,0.1081,0.2624,0.7564,1.6517,3.3344,5.5573,7.95,24.0
26447,E01004368,Waltham Forest 019E,0,20,115,224,402,656,867,1060,0.0,0.3087,1.7752,3.4579,6.2056,10.1266,13.3838,16.3631,16.0
26448,E01000306,Barnet 036C,1,17,57,149,315,552,756,942,0.0154,0.2624,0.8799,2.3001,4.8626,8.5211,11.6703,14.5415,7.0
26449,E01000387,Bexley 027C,0,8,37,112,244,436,650,842,0.0,0.1235,0.5712,1.7289,3.7666,6.7305,10.034,12.9978,21.0
26450,E01000307,Barnet 039D,1,13,43,121,263,458,676,870,0.0154,0.2007,0.6638,1.8679,4.0599,7.0701,10.4353,13.4301,11.0
26451,E01000386,Bexley 028D,2,12,30,73,154,267,434,614,0.0309,0.1852,0.4631,1.1269,2.3773,4.1216,6.6996,9.4782,14.0
26452,E01000304,Barnet 020E,1,4,26,73,157,251,409,596,0.0154,0.0617,0.4014,1.1269,2.4236,3.8747,6.3137,9.2004,10.0
26453,E01000385,Bexley 028C,1,4,16,50,109,201,362,541,0.0154,0.0617,0.247,0.7718,1.6826,3.1028,5.5881,8.3513,0.0
26454,E01000305,Barnet 036B,1,17,54,153,314,546,751,936,0.0154,0.2624,0.8336,2.3618,4.8472,8.4285,11.5931,14.4489,15.0
26455,E01000384,Bexley 027B,1,10,34,84,175,313,485,678,0.0154,0.1544,0.5249,1.2967,2.7015,4.8317,7.4869,10.4662,12.0
26456,E01000302,Barnet 019C,2,5,36,94,181,290,449,641,0.0309,0.0772,0.5557,1.4511,2.7941,4.4767,6.9312,9.895,10.0
26457,E01000383,Bexley 028B,1,2,17,49,107,212,393,599,0.0154,0.0309,0.2624,0.7564,1.6517,3.2726,6.0667,9.2467,9.0
26458,E01000303,Barnet 020D,1,4,26,73,156,249,404,600,0.0154,0.0617,0.4014,1.1269,2.4082,3.8438,6.2365,9.2621,9.0
26459,E01000382,Bexley 027A,0,2,30,78,169,343,555,742,0.0,0.0309,0.4631,1.2041,2.6088,5.2948,8.5675,11.4542,18.0
26460,E01000300,Barnet 019B,2,5,34,100,181,289,454,642,0.0309,0.0772,0.5249,1.5437,2.7941,4.4613,7.0083,9.9105,5.0
26461,E01000381,Bexley 028A,0,4,25,84,183,374,586,781,0.0,0.0617,0.3859,1.2967,2.8249,5.7734,9.046,12.0562,26.0
26462,E01000301,Barnet 020C,2,5,28,89,172,270,421,605,0.0309,0.0772,0.4322,1.3739,2.6551,4.168,6.4989,9.3393,13.0
26463,E01000308,Barnet 036D,0,17,56,148,308,541,751,933,0.0,0.2624,0.8645,2.2847,4.7546,8.3513,11.5931,14.4026,16.0
26464,E01000389,Bexley 020E,2,12,35,67,159,304,499,690,0.0309,0.1852,0.5403,1.0343,2.4545,4.6928,7.703,10.6514,9.0
26465,E01000309,Barnet 031D,2,17,49,127,260,485,702,898,0.0309,0.2624,0.7564,1.9605,4.0136,7.4869,10.8367,13.8623,8.0
26466,E01000388,Bexley 016A,3,15,41,88,178,330,540,729,0.0463,0.2316,0.6329,1.3584,2.7478,5.0942,8.3359,11.2535,11.0
26467,E01000266,Barnet 011B,0,11,38,122,217,332,510,724,0.0,0.1698,0.5866,1.8833,3.3498,5.125,7.8728,11.1763,18.0
26468,E01000267,Barnet 005A,0,4,26,109,221,369,566,765,0.0,0.0617,0.4014,1.6826,3.4115,5.6962,8.7373,11.8092,17.0
26469,E01000265,Barnet 011A,0,14,52,138,240,383,557,771,0.0,0.2161,0.8027,2.1303,3.7048,5.9123,8.5983,11.9018,19.0
26470,E01000262,Barnet 017D,0,4,28,98,187,311,498,647,0.0,0.0617,0.4322,1.5128,2.8867,4.8009,7.6876,9.9877,22.0
26471,E01000263,Barnet 016C,0,4,38,118,245,431,650,852,0.0,0.0617,0.5866,1.8215,3.782,6.6533,10.034,13.1522,16.0
26472,E01000260,Barnet 025E,0,6,30,90,187,352,569,754,0.0,0.0926,0.4631,1.3893,2.8867,5.4338,8.7836,11.6394,24.0
26473,E01000261,Barnet 017C,0,1,27,91,197,371,592,794,0.0,0.0154,0.4168,1.4048,3.0411,5.7271,9.1386,12.2569,21.0
26474,E01000268,Barnet 005B,2,6,47,138,254,414,615,808,0.0309,0.0926,0.7255,2.1303,3.921,6.3909,9.4937,12.473,12.0
26475,E01000269,Barnet 005C,1,9,32,119,203,330,512,713,0.0154,0.1389,0.494,1.837,3.1337,5.0942,7.9037,11.0065,13.0
26476,E01002256,Havering 018B,0,1,13,61,164,293,438,617,0.0,0.0154,0.2007,0.9416,2.5316,4.523,6.7613,9.5245,22.0
26477,E01002257,Havering 019C,1,11,61,172,324,474,670,820,0.0154,0.1698,0.9416,2.6551,5.0015,7.3171,10.3427,12.6582,13.0
26478,E01002254,Havering 019B,0,4,15,71,190,342,499,687,0.0,0.0617,0.2316,1.096,2.933,5.2794,7.703,10.6051,22.0
26479,E01002255,Havering 022A,0,6,19,93,239,387,567,736,0.0,0.0926,0.2933,1.4356,3.6894,5.9741,8.7527,11.3615,21.0
26480,E01002252,Havering 018A,0,1,12,54,145,247,378,538,0.0,0.0154,0.1852,0.8336,2.2383,3.8129,5.8351,8.305,24.0
26481,E01002253,Havering 019A,1,7,18,87,206,338,486,671,0.0154,0.1081,0.2779,1.343,3.18,5.2177,7.5023,10.3581,15.0
26482,E01004256,Tower Hamlets 024C,1,25,119,319,553,779,964,1149,0.0154,0.3859,1.837,4.9244,8.5366,12.0253,14.8811,17.737,13.0
26483,E01002250,Havering 017E,1,5,21,54,104,232,414,596,0.0154,0.0772,0.3242,0.8336,1.6054,3.5814,6.3909,9.2004,14.0
26484,E01004257,Tower Hamlets 024D,1,20,106,306,555,778,965,1149,0.0154,0.3087,1.6363,4.7237,8.5675,12.0099,14.8966,17.737,15.0
26485,E01002251,Havering 017F,0,12,41,85,169,295,475,633,0.0,0.1852,0.6329,1.3121,2.6088,4.5539,7.3325,9.7715,16.0
26486,E01004254,Tower Hamlets 023B,1,26,129,327,561,780,966,1151,0.0154,0.4014,1.9914,5.0479,8.6601,12.0408,14.912,17.7678,6.0
26487,E01004255,Tower Hamlets 023C,2,39,154,358,600,796,981,1172,0.0309,0.602,2.3773,5.5264,9.2621,12.2877,15.1436,18.092,9.0
26488,E01004252,Tower Hamlets 024A,1,23,113,301,516,761,934,1131,0.0154,0.355,1.7444,4.6465,7.9654,11.7475,14.418,17.4591,9.0
26489,E01004253,Tower Hamlets 024B,1,20,110,294,520,759,928,1128,0.0154,0.3087,1.6981,4.5384,8.0272,11.7166,14.3254,17.4128,12.0
26490,E01004250,Tower Hamlets 020D,1,16,76,231,453,705,901,1106,0.0154,0.247,1.1732,3.5659,6.9929,10.883,13.9086,17.0732,15.0
26491,E01004251,Tower Hamlets 023A,1,21,110,296,510,757,937,1142,0.0154,0.3242,1.6981,4.5693,7.8728,11.6857,14.4643,17.6289,0.0
26492,E01002258,Havering 018C,0,7,18,82,185,296,426,593,0.0,0.1081,0.2779,1.2658,2.8558,4.5693,6.5761,9.1541,17.0
26493,E01002259,Havering 018D,0,4,17,68,163,275,404,576,0.0,0.0617,0.2624,1.0497,2.5162,4.2451,6.2365,8.8916,20.0
26494,E01004258,Tower Hamlets 023D,1,25,123,319,537,768,948,1136,0.0154,0.3859,1.8987,4.9244,8.2896,11.8555,14.6341,17.5363,9.0
26495,E01004259,Tower Hamlets 007A,3,40,184,380,630,866,1068,1272,0.0463,0.6175,2.8404,5.866,9.7252,13.3683,16.4866,19.6357,11.0
26496,E01032584,Southwark 034E,3,44,212,457,690,921,1142,1368,0.0463,0.6792,3.2726,7.0546,10.6514,14.2174,17.6289,21.1176,10.0
26497,E01032583,Southwark 034D,3,53,228,480,707,945,1148,1384,0.0463,0.8182,3.5196,7.4097,10.9139,14.5878,17.7215,21.3646,5.0
26498,E01032582,Lambeth 036E,2,51,228,489,710,943,1163,1386,0.0309,0.7873,3.5196,7.5486,10.9602,14.557,17.9531,21.3955,8.0
